Ordrenr.;t;Afsluttet ord.;Projektnr.;Navn;Kundeinfo;Prio.;Niveau;Varenummer;Navn;Startperiode;Afsluttet vare;Plan. antal;Rap. ant.;R;Status;Op.;Prod.grp.;Op. beskrivelse;Start;Afsluttet;Plan. antal;Rap. ant.;R;Plan. tid;Rap.tid;Rapp.nr.;oprettet
242723;31-05-2016;31-05-2016;;;CMS Dental ApS;9;0;242723;Nyt design på håndtag;31-05-2016;31-05-2016;3;; ;1;40;VFA-Ø;Interne fejl og efterjustering U/B;31-05-2016;31-05-2016;3;0; ;0;0;548;
242727;19-05-2016;19-05-2016;;;Outrup Vinduer A/S;9;0;TV242727;15 MM clips;19-05-2016;19-05-2016;1;; ;1;10;VFS-01;Projekt opstart og konstruktion;19-05-2016;19-05-2016;1;0; ;0;0;692;
242727;19-05-2016;19-05-2016;;;Outrup Vinduer A/S;9;0;TV242727;15 MM clips;19-05-2016;19-05-2016;1;; ;1;20;VFS-02;Programmer, fremstille i værksted ;19-05-2016;19-05-2016;1;0; ;0;0;690;
242727;19-05-2016;19-05-2016;;;Outrup Vinduer A/S;9;0;TV242727;15 MM clips;19-05-2016;19-05-2016;1;; ;1;30;VFS-03;Ubemandet maskintid;19-05-2016;19-05-2016;1;0; ;0;0;688;
242727;19-05-2016;19-05-2016;;;Outrup Vinduer A/S;9;0;TV242727;15 MM clips;19-05-2016;19-05-2016;1;; ;1;40;VFS-Ø;Interne fejl og efterjustering U/B;19-05-2016;19-05-2016;1;0; ;0;0;686;
242735-1;22-04-2016;22-04-2016;;;Grundfos  A/S;9;0;US.511356;US.511356;22-04-2016;22-04-2016;1;; ;1;10;SVH-01;Afmontering, montering ect.;22-04-2016;22-04-2016;1;0; ;0;0;506;
242735-1;22-04-2016;22-04-2016;;;Grundfos  A/S;9;0;US.511356;US.511356;22-04-2016;22-04-2016;1;; ;1;20;SVH-02;Slibning, renovering af dele;22-04-2016;22-04-2016;1;0; ;0;0;504;
242735-1;22-04-2016;22-04-2016;;;Grundfos  A/S;9;0;US.511356;US.511356;22-04-2016;22-04-2016;1;; ;1;30;SVH-Ø;Interne fejl og efterjustering U/B;22-04-2016;22-04-2016;1;0; ;0;0;502;
242735-1;22-04-2016;22-04-2016;;;Grundfos  A/S;9;0;US.511356;US.511356;22-04-2016;22-04-2016;1;; ;1;40;USVH-03;Job og opgaver uden for SVH;22-04-2016;22-04-2016;1;0; ;0;0;500;
242735-2;06-05-2016;06-05-2016;;;Grundfos  A/S;9;0;US.544482;US.544482;06-05-2016;06-05-2016;1;; ;1;10;SVH-01;Afmontering, montering ect.;06-05-2016;06-05-2016;1;0; ;0;0;514;
242735-2;06-05-2016;06-05-2016;;;Grundfos  A/S;9;0;US.544482;US.544482;06-05-2016;06-05-2016;1;; ;1;20;SVH-02;Slibning, renovering af dele;06-05-2016;06-05-2016;1;0; ;0;0;512;
242735-2;06-05-2016;06-05-2016;;;Grundfos  A/S;9;0;US.544482;US.544482;06-05-2016;06-05-2016;1;; ;1;30;SVH-Ø;Interne fejl og efterjustering U/B;06-05-2016;06-05-2016;1;0; ;0;0;510;
242735-2;06-05-2016;06-05-2016;;;Grundfos  A/S;9;0;US.544482;US.544482;06-05-2016;06-05-2016;1;; ;1;40;USVH-03;Job og opgaver uden for SVH;06-05-2016;06-05-2016;1;0; ;0;0;508;
242735-3;27-05-2016;27-05-2016;;;Grundfos  A/S;9;0;US.266959;US.266959;27-05-2016;27-05-2016;1;; ;1;10;SVH-01;Afmontering, montering ect.;27-05-2016;27-05-2016;1;0; ;0;0;522;
242735-3;27-05-2016;27-05-2016;;;Grundfos  A/S;9;0;US.266959;US.266959;27-05-2016;27-05-2016;1;; ;1;20;SVH-02;Slibning, renovering af dele;27-05-2016;27-05-2016;1;0; ;0;0;520;
242735-3;27-05-2016;27-05-2016;;;Grundfos  A/S;9;0;US.266959;US.266959;27-05-2016;27-05-2016;1;; ;1;30;SVH-Ø;Interne fejl og efterjustering U/B;27-05-2016;27-05-2016;1;0; ;0;0;518;
242735-3;27-05-2016;27-05-2016;;;Grundfos  A/S;9;0;US.266959;US.266959;27-05-2016;27-05-2016;1;; ;1;40;USVH-03;Job og opgaver uden for SVH;27-05-2016;27-05-2016;1;0; ;0;0;516;
242735-4;31-05-2016;31-05-2016;;;Grundfos  A/S;9;0;US.291723;US.291723;31-05-2016;31-05-2016;1;; ;1;10;SVH-01;Afmontering, montering ect.;31-05-2016;31-05-2016;1;0; ;0;0;530;
242735-4;31-05-2016;31-05-2016;;;Grundfos  A/S;9;0;US.291723;US.291723;31-05-2016;31-05-2016;1;; ;1;20;SVH-02;Slibning, renovering af dele;31-05-2016;31-05-2016;1;0; ;0;0;528;
242735-4;31-05-2016;31-05-2016;;;Grundfos  A/S;9;0;US.291723;US.291723;31-05-2016;31-05-2016;1;; ;1;30;SVH-Ø;Interne fejl og efterjustering U/B;31-05-2016;31-05-2016;1;0; ;0;0;526;
242735-4;31-05-2016;31-05-2016;;;Grundfos  A/S;9;0;US.291723;US.291723;31-05-2016;31-05-2016;1;; ;1;40;USVH-03;Job og opgaver uden for SVH;31-05-2016;31-05-2016;1;0; ;0;0;524;
242745;01-06-2016;01-06-2016;;;Grundfos  A/S;9;0;V70065975;V70065975;01-06-2016;01-06-2016;1;; ;1;10;G01-1;Fremstilling og bearbejdning;01-06-2016;01-06-2016;1;0; ;0;0;168;
242745;01-06-2016;01-06-2016;;;Grundfos  A/S;9;0;V70065975;V70065975;01-06-2016;01-06-2016;1;; ;1;20;G01-2;Ubemandet maskintid;01-06-2016;01-06-2016;1;0; ;0;0;166;
242745;01-06-2016;01-06-2016;;;Grundfos  A/S;9;0;V70065975;V70065975;01-06-2016;01-06-2016;1;; ;1;30;G01-Ø;Interne fejl og efterjustering U/B;01-06-2016;01-06-2016;1;0; ;0;0;164;
242757-1;12-05-2016;12-05-2016;;;Bila A/S;9;0;10000011;0130530-99-4205;12-05-2016;12-05-2016;1;; ;1;10;B01-1;Arbejde;12-05-2016;12-05-2016;1;0; ;0;0;296;
242757-1;12-05-2016;12-05-2016;;;Bila A/S;9;0;10000011;0130530-99-4205;12-05-2016;12-05-2016;1;; ;1;20;B01-Ø;Interne fejl og efterjustering U/B;12-05-2016;12-05-2016;1;0; ;0;0;294;
242757-2;12-05-2016;12-05-2016;;;Bila A/S;9;0;10000009;0130530-99-4142;12-05-2016;12-05-2016;1;; ;1;10;B01-1;Arbejde;12-05-2016;12-05-2016;1;0; ;0;0;300;
242757-2;12-05-2016;12-05-2016;;;Bila A/S;9;0;10000009;0130530-99-4142;12-05-2016;12-05-2016;1;; ;1;20;B01-Ø;Interne fejl og efterjustering U/B;12-05-2016;12-05-2016;1;0; ;0;0;298;
242757-3;12-05-2016;12-05-2016;;;Bila A/S;9;0;10000010;0130530-99-4201;12-05-2016;12-05-2016;1;; ;1;10;B01-1;Arbejde;12-05-2016;12-05-2016;1;0; ;0;0;304;
242757-3;12-05-2016;12-05-2016;;;Bila A/S;9;0;10000010;0130530-99-4201;12-05-2016;12-05-2016;1;; ;1;20;B01-Ø;Interne fejl og efterjustering U/B;12-05-2016;12-05-2016;1;0; ;0;0;302;
242759;18-05-2016;18-05-2016;;;Grundfos  A/S;9;0;V70074486;V70074486;18-05-2016;18-05-2016;5;; ;1;10;G01-1;Fremstilling og bearbejdning;18-05-2016;18-05-2016;5;0; ;0;0;162;
242759;18-05-2016;18-05-2016;;;Grundfos  A/S;9;0;V70074486;V70074486;18-05-2016;18-05-2016;5;; ;1;20;G01-2;Ubemandet maskintid;18-05-2016;18-05-2016;5;0; ;0;0;160;
242759;18-05-2016;18-05-2016;;;Grundfos  A/S;9;0;V70074486;V70074486;18-05-2016;18-05-2016;5;; ;1;30;G01-Ø;Interne fejl og efterjustering U/B;18-05-2016;18-05-2016;5;0; ;0;0;158;
242762;27-05-2016;27-05-2016;;;CeramicSpeed;9;0;242762;DV SRAM Cages;27-05-2016;27-05-2016;1;; ;1;10;C01-1;Fremstilling og bearbejdning;27-05-2016;27-05-2016;1;0; ;0;0;574;
242762;27-05-2016;27-05-2016;;;CeramicSpeed;9;0;242762;DV SRAM Cages;27-05-2016;27-05-2016;1;; ;1;20;C01-2;Ubemandet maskintid;27-05-2016;27-05-2016;1;0; ;0;0;572;
242762;27-05-2016;27-05-2016;;;CeramicSpeed;9;0;242762;DV SRAM Cages;27-05-2016;27-05-2016;1;; ;1;30;C01-Ø;Q-kort, fejl og efterjusteringer;27-05-2016;27-05-2016;1;0; ;0;0;570;
242766-1;23-05-2016;23-05-2016;;;Grundfos  A/S;9;0;V70093400;V70093400;23-05-2016;23-05-2016;1;; ;1;10;G01-1;Fremstilling og bearbejdning;23-05-2016;23-05-2016;1;0; ;0;0;138;
242766-1;23-05-2016;23-05-2016;;;Grundfos  A/S;9;0;V70093400;V70093400;23-05-2016;23-05-2016;1;; ;1;20;G01-2;Ubemandet maskintid;23-05-2016;23-05-2016;1;0; ;0;0;136;
242766-1;23-05-2016;23-05-2016;;;Grundfos  A/S;9;0;V70093400;V70093400;23-05-2016;23-05-2016;1;; ;1;30;G01-Ø;Interne fejl og efterjustering U/B;23-05-2016;23-05-2016;1;0; ;0;0;134;
242768;02-06-2016;02-06-2016;;;Kunststof-kemi A/S;9;0;TV242768 /8223;MAXI - Prinsesse;02-06-2016;02-06-2016;3;; ;1;10;VFS-01;Projekt opstart og konstruktion;02-06-2016;02-06-2016;3;0; ;0;0;676;
242768;02-06-2016;02-06-2016;;;Kunststof-kemi A/S;9;0;TV242768 /8223;MAXI - Prinsesse;02-06-2016;02-06-2016;3;; ;1;20;VFS-02;Programmer, fremstille i værksted ;02-06-2016;02-06-2016;3;0; ;0;0;674;
242768;02-06-2016;02-06-2016;;;Kunststof-kemi A/S;9;0;TV242768 /8223;MAXI - Prinsesse;02-06-2016;02-06-2016;3;; ;1;30;VFS-03;Ubemandet maskintid;02-06-2016;02-06-2016;3;0; ;0;0;672;
242768;02-06-2016;02-06-2016;;;Kunststof-kemi A/S;9;0;TV242768 /8223;MAXI - Prinsesse;02-06-2016;02-06-2016;3;; ;1;40;VFS-Ø;Interne fejl og efterjustering U/B;02-06-2016;02-06-2016;3;0; ;0;0;670;
